year,value,series
2010,14478.2764,蚊帳の配布数
2011,8785.9346,蚊帳の配布数
2012,7016.1992,蚊帳の配布数
2013,14294.3286,蚊帳の配布数
2014,18876.0349,蚊帳の配布数
2015,17776.4766,蚊帳の配布数
2016,13758.3482,蚊帳の配布数
2017,20270.3757,蚊帳の配布数
2018,17223.7292,蚊帳の配布数
2019,21284.6617,蚊帳の配布数
2020,20903.0861,蚊帳の配布数
2021,20536.9107,蚊帳の配布数
2022,25943.9521,蚊帳の配布数
2010,23.69,蚊帳を使っている人の割合
2011,29.76,蚊帳を使っている人の割合
2012,31.68,蚊帳を使っている人の割合
2013,32.07,蚊帳を使っている人の割合
2014,36.16,蚊帳を使っている人の割合
2015,40.31,蚊帳を使っている人の割合
2016,41.75,蚊帳を使っている人の割合
2017,45.46,蚊帳を使っている人の割合
2018,46.66,蚊帳を使っている人の割合
2019,45.55,蚊帳を使っている人の割合
2020,44.44,蚊帳を使っている人の割合
2021,42.27,蚊帳を使っている人の割合
2022,43.43,蚊帳を使っている人の割合
